country,iso_code,population
China,CHN,1412000000
India,IND,1417000000
United States,USA,339000000
Indonesia,IDN,277000000
Pakistan,PAK,240000000
Nigeria,NGA,223000000
Brazil,BRA,216000000
Bangladesh,BGD,173000000
Russia,RUS,144000000
Mexico,MEX,128000000
Japan,JPN,123000000
Germany,DEU,84000000
France,FRA,68000000
United Kingdom,GBR,67000000
South Africa,ZAF,60000000
Kenya,KEN,55000000
Australia,AUS,26000000
Canada,CAN,40000000
Egypt,EGY,112000000
Argentina,ARG,46000000
